
TimeCST	TemperatureF	Dew PointF	Humidity	Sea Level PressureIn	VisibilityMPH	Wind Direction	Wind SpeedMPH	Gust SpeedMPH	PrecipitationIn	Events	Conditions	WindDirDegrees	DateUTC<br />
12:15 AM	19.6	12.0	72	30.23	10.0	North	4.6	-	N/A		Overcast	360	2014-02-09 06:15:00<br />
12:35 AM	19.4	12.0	73	30.23	10.0	Calm	Calm	-	N/A		Overcast	0	2014-02-09 06:35:00<br />
12:55 AM	18.9	10.9	71	30.23	10.0	Calm	Calm	-	N/A		Overcast	0	2014-02-09 06:55:00<br />
1:15 AM	18.3	10.6	72	30.25	10.0	North	3.5	-	N/A		Mostly Cloudy	350	2014-02-09 07:15:00<br />
1:35 AM	17.6	10.2	73	30.24	10.0	Calm	Calm	-	N/A		Scattered Clouds	0	2014-02-09 07:35:00<br />
1:55 AM	16.7	9.5	73	30.25	10.0	NNW	5.8	-	N/A		Clear	340	2014-02-09 07:55:00<br />
2:15 AM	16.2	9.0	73	30.25	10.0	NNW	3.5	-	N/A		Clear	340	2014-02-09 08:15:00<br />
2:35 AM	15.6	9.0	75	30.25	10.0	Calm	Calm	-	N/A		Clear	0	2014-02-09 08:35:00<br />
2:55 AM	15.4	9.0	76	30.24	10.0	North	4.6	-	N/A		Clear	350	2014-02-09 08:55:00<br />
3:15 AM	15.4	9.1	76	30.25	10.0	Calm	Calm	-	N/A		Clear	0	2014-02-09 09:15:00<br />
3:35 AM	15.4	9.3	77	30.24	10.0	Calm	Calm	-	N/A		Clear	0	2014-02-09 09:35:00<br />
3:55 AM	15.3	9.3	77	30.23	10.0	Calm	Calm	-	N/A		Clear	0	2014-02-09 09:55:00<br />
4:15 AM	15.1	9.3	78	30.25	10.0	NW	3.5	-	N/A		Clear	320	2014-02-09 10:15:00<br />
4:35 AM	14.9	9.0	77	30.25	10.0	NNW	4.6	-	N/A		Clear	330	2014-02-09 10:35:00<br />
4:55 AM	14.7	8.4	76	30.26	10.0	WNW	3.5	-	N/A		Clear	300	2014-02-09 10:55:00<br />
5:15 AM	14.5	8.1	75	30.26	10.0	NW	5.8	-	N/A		Clear	310	2014-02-09 11:15:00<br />
5:35 AM	14.4	8.1	76	30.26	10.0	NNW	6.9	-	N/A		Clear	330	2014-02-09 11:35:00<br />
5:55 AM	14.0	8.1	77	30.26	10.0	NNW	6.9	-	N/A		Clear	330	2014-02-09 11:55:00<br />
6:15 AM	13.8	7.7	77	30.25	10.0	NNW	5.8	-	N/A		Scattered Clouds	330	2014-02-09 12:15:00<br />
6:35 AM	12.9	6.8	77	30.26	10.0	NW	8.1	-	N/A	Snow	Light Snow	320	2014-02-09 12:35:00<br />
6:55 AM	12.7	6.8	77	30.27	10.0	NNW	4.6	-	N/A	Snow	Light Snow	340	2014-02-09 12:55:00<br />
7:15 AM	12.6	7.0	78	30.29	10.0	NNW	8.1	-	N/A	Snow	Light Snow	330	2014-02-09 13:15:00<br />
7:35 AM	12.2	6.6	78	30.29	7.0	North	5.8	-	N/A	Snow	Light Snow	350	2014-02-09 13:35:00<br />
7:55 AM	11.8	6.1	78	30.30	7.0	North	6.9	-	N/A	Snow	Light Snow	360	2014-02-09 13:55:00<br />
8:15 AM	10.9	4.5	75	30.32	10.0	NNW	9.2	16.1	N/A	Snow	Light Snow	330	2014-02-09 14:15:00<br />
8:35 AM	10.2	3.0	73	30.33	10.0	NNW	9.2	-	N/A		Scattered Clouds	330	2014-02-09 14:35:00<br />
8:55 AM	9.1	1.6	71	30.33	10.0	North	6.9	-	N/A		Overcast	350	2014-02-09 14:55:00<br />
9:15 AM	8.4	-1.7	64	30.34	10.0	NNW	6.9	16.1	N/A		Overcast	340	2014-02-09 15:15:00<br />
9:35 AM	8.2	-1.7	64	30.35	10.0	NW	9.2	-	N/A		Overcast	320	2014-02-09 15:35:00<br />
9:55 AM	7.7	-1.3	67	30.37	10.0	NW	11.5	-	N/A		Overcast	320	2014-02-09 15:55:00<br />
10:15 AM	7.3	-2.2	65	30.38	10.0	NNW	11.5	-	N/A		Overcast	330	2014-02-09 16:15:00<br />
10:35 AM	6.8	-3.5	63	30.38	10.0	NNW	9.2	-	N/A		Overcast	330	2014-02-09 16:35:00<br />
10:55 AM	6.8	-4.0	61	30.38	10.0	NNW	9.2	-	N/A		Overcast	340	2014-02-09 16:55:00<br />
11:15 AM	7.5	-4.0	59	30.38	10.0	NNW	10.4	16.1	N/A		Overcast	330	2014-02-09 17:15:00<br />
11:35 AM	7.3	-4.5	58	30.38	7.0	North	6.9	16.1	N/A		Mostly Cloudy	360	2014-02-09 17:35:00<br />
11:55 AM	8.6	-3.3	59	30.38	10.0	NNW	9.2	-	N/A		Scattered Clouds	330	2014-02-09 17:55:00<br />
12:15 PM	9.3	-1.3	62	30.38	10.0	NW	11.5	-	N/A		Scattered Clouds	320	2014-02-09 18:15:00<br />
12:35 PM	8.8	-1.5	63	30.38	10.0	NNW	11.5	18.4	N/A		Mostly Cloudy	330	2014-02-09 18:35:00<br />
12:55 PM	8.6	-1.8	63	30.38	10.0	NNW	9.2	-	N/A		Overcast	330	2014-02-09 18:55:00<br />
1:15 PM	8.6	-2.2	62	30.38	10.0	NW	9.2	-	N/A		Mostly Cloudy	320	2014-02-09 19:15:00<br />
1:35 PM	9.5	-1.3	62	30.38	10.0	North	6.9	-	N/A		Mostly Cloudy	350	2014-02-09 19:35:00<br />
1:55 PM	9.7	-1.3	61	30.38	10.0	NW	9.2	-	N/A		Scattered Clouds	320	2014-02-09 19:55:00<br />
2:15 PM	10.2	-1.7	59	30.38	10.0	North	8.1	-	N/A		Mostly Cloudy	350	2014-02-09 20:15:00<br />
2:35 PM	9.9	-2.2	58	30.36	10.0	NNW	6.9	-	N/A		Overcast	340	2014-02-09 20:35:00<br />
2:55 PM	10.2	-1.8	58	30.35	10.0	NNW	9.2	-	N/A		Overcast	330	2014-02-09 20:55:00<br />
3:15 PM	10.4	-2.0	57	30.35	10.0	NW	8.1	-	N/A		Overcast	320	2014-02-09 21:15:00<br />
3:35 PM	10.8	-2.2	56	30.35	10.0	NNW	5.8	-	N/A		Overcast	340	2014-02-09 21:35:00<br />
3:55 PM	10.8	-1.8	57	30.36	10.0	NNW	5.8	-	N/A		Overcast	340	2014-02-09 21:55:00<br />
4:15 PM	10.9	-2.2	56	30.37	10.0	North	3.5	-	N/A		Overcast	350	2014-02-09 22:15:00<br />
4:35 PM	11.1	-2.0	56	30.36	10.0	NNW	5.8	-	N/A		Overcast	340	2014-02-09 22:35:00<br />
4:55 PM	11.3	-2.0	55	30.38	10.0	North	4.6	-	N/A		Overcast	360	2014-02-09 22:55:00<br />
5:15 PM	11.3	-1.7	56	30.38	10.0	North	8.1	-	N/A		Overcast	350	2014-02-09 23:15:00<br />
5:35 PM	11.3	-1.5	57	30.37	10.0	NNW	5.8	-	N/A		Overcast	340	2014-02-09 23:35:00<br />
5:55 PM	11.5	-1.3	57	30.39	10.0	NNW	5.8	-	N/A		Overcast	330	2014-02-09 23:55:00<br />
6:15 PM	11.8	-0.9	57	30.40	10.0	NNW	6.9	-	N/A		Overcast	330	2014-02-10 00:15:00<br />
6:35 PM	11.8	-1.3	56	30.40	10.0	North	5.8	-	N/A		Overcast	350	2014-02-10 00:35:00<br />
6:55 PM	11.8	-1.3	56	30.41	10.0	Calm	Calm	-	N/A		Overcast	0	2014-02-10 00:55:00<br />
7:15 PM	11.3	-1.3	57	30.41	10.0	NNE	4.6	-	N/A		Overcast	20	2014-02-10 01:15:00<br />
7:35 PM	11.3	-1.7	56	30.40	10.0	North	5.8	-	N/A		Overcast	10	2014-02-10 01:35:00<br />
7:55 PM	11.3	-1.7	56	30.41	10.0	North	4.6	-	N/A		Overcast	10	2014-02-10 01:55:00<br />
8:15 PM	11.3	-1.5	57	30.42	10.0	Calm	Calm	-	N/A		Overcast	0	2014-02-10 02:15:00<br />
8:35 PM	10.9	-1.7	57	30.43	10.0	Calm	Calm	-	N/A		Overcast	0	2014-02-10 02:35:00<br />
8:55 PM	10.8	-2.2	56	30.43	10.0	NNW	3.5	-	N/A		Overcast	340	2014-02-10 02:55:00<br />
9:15 PM	10.4	-2.4	56	30.44	10.0	Calm	Calm	-	N/A		Overcast	0	2014-02-10 03:15:00<br />
9:35 PM	10.2	-2.4	57	30.44	10.0	Calm	Calm	-	N/A		Overcast	0	2014-02-10 03:35:00<br />
9:55 PM	9.9	-2.4	58	30.44	10.0	Calm	Calm	-	N/A		Overcast	0	2014-02-10 03:55:00<br />
10:15 PM	9.9	-2.4	58	30.44	10.0	Calm	Calm	-	N/A		Mostly Cloudy	0	2014-02-10 04:15:00<br />
10:35 PM	9.1	-1.3	63	30.43	10.0	Calm	Calm	-	N/A		Mostly Cloudy	0	2014-02-10 04:35:00<br />
10:55 PM	8.6	-1.3	64	30.43	10.0	Calm	Calm	-	N/A		Scattered Clouds	0	2014-02-10 04:55:00<br />
